accession_name	food_name	genome_accession	species	Sequence_abundance	Adjusted_ANI	Eff_cov	completeness	contamination	contigs	taxonomy
SRR25393913	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	1.6592	98.06	4.054	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393913	sausage	MASTER_WP4_CSIC_2__P2560__bin.1	Penicillium sp SPG F1	1.3564	99.75	1.197	95.3	0.2	1130	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393913	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.3116	99.34	1.174	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393913	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	0.1546	96.47	0.48	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393913	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.11	Debaryomyces spp.	0.1132	97.11	0.296	87.9	2.3	1851	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393913	sausage	MASTER_WP4_UNINA_2__O-30__bin.13	Penicillium camemberti	0.2269	97.29	0.198	96	0.1	842	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393913	sausage	XieM_2019__SAMC044639__bin.29	Penicillium polonicum	0.1911	98.32	0.184	91.4	0.3	2071	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393913	sausage	AlvarezOrdonezA_xxxx__C03-19__bin.12	Yarrowia alimentaria	0.02	97.14	0.04	82	0.2	1952	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25393913	sausage	GCA_003243815.1_ASM324381v1_genomic	Candida sake	0.0165	96.54	0.034	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
SRR25393915	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	28.6413	99.98	77	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393915	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.3	Aspergillus spp.	9.7716	99.96	9.3	89	0.6	1667	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25393915	sausage	AlvarezOrdonezA_xxxx__C05-19__bin.5	Aspergillus glaucus	6.4767	99.21	6.773	60	3.7	3296	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25393915	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	2.4263	99.07	5.132	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393915	sausage	MASTER_WP4_CSIC_2__P2560__bin.1	Penicillium sp SPG F1	5.9334	99.34	4.531	95.3	0.2	1130	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393915	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.8898	99	2.901	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393915	sausage	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.3443	99.86	1.372	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25393915	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.5	Penicillium nordicum	1.0601	99.91	0.963	85.2	0.5	3345	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393915	sausage	AlvarezOrdonezA_xxxx__C08-18__bin.12	Kurtzmaniella spp.	0.1887	99.28	0.757	51.6	0.4	482	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393915	sausage	AlvarezOrdonezA_xxxx__C04-18__bin.7	Candida glucosophila	0.0878	99.48	0.275	73.2	0.1	2198	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;unknown
SRR25393915	sausage	MASTER_WP4_CSIC_1__P2233_73323__bin.18	Debaryomyces fabryi	0.0439	97.61	0.097	97.2	0.1	195	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393915	sausage	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.021	96.5	0.042	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR25393915	sausage	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.0317	96.45	0.037	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25393917	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.3	Aspergillus spp.	91.0405	99.99	159	89	0.6	1667	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25393917	sausage	AlvarezOrdonezA_xxxx__C05-19__bin.5	Aspergillus glaucus	8.3385	99.26	16	60	3.7	3296	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25393917	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.2688	98.81	1.043	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393917	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	0.0867	97.39	0.428	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393917	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.11	Debaryomyces spp.	0.0644	95.34	0.268	87.9	2.3	1851	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393917	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.5	Penicillium nordicum	0.1275	99.33	0.213	85.2	0.5	3345	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393917	sausage	MASTER_WP4_CSIC_2__P2560__bin.1	Penicillium sp SPG F1	0.0735	98.64	0.103	95.3	0.2	1130	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393919	sausage	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	3.3859	99.59	17	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25393919	sausage	AlvarezOrdonezA_xxxx__C08-18__bin.12	Kurtzmaniella spp.	2.3963	99.97	12.121	51.6	0.4	482	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393919	sausage	AlvarezOrdonezA_xxxx__C03-19__bin.12	Yarrowia alimentaria	4.4423	100	9.598	82	0.2	1952	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25393919	sausage	AlvarezOrdonezA_xxxx__C06-18__bin.23	Helicostylum pulchrum	5.8573	99.65	5.814	89.5	4.2	5208	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Helicostylum
SRR25393919	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.7621	99.07	3.131	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393919	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.3528	98.89	0.941	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393920	sausage	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.3728	99.49	1.683	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25393920	sausage	AlvarezOrdonezA_xxxx__C08-18__bin.12	Kurtzmaniella spp.	0.309	99.99	1.405	51.6	0.4	482	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393920	sausage	AlvarezOrdonezA_xxxx__C06-18__bin.23	Helicostylum pulchrum	1.2966	99.82	1.157	89.5	4.2	5208	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Helicostylum
SRR25393920	sausage	AlvarezOrdonezA_xxxx__C03-19__bin.12	Yarrowia alimentaria	0.4221	99.75	0.82	82	0.2	1952	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25393920	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.1156	98.79	0.427	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393920	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.1039	96.02	0.249	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393921	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	47.8563	100	149	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393921	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.11	Debaryomyces spp.	8.7598	99.95	23	87.9	2.3	1851	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393921	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	6.5316	99.29	16	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25393921	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.3	Aspergillus spp.	11.4559	98.5	12.627	89	0.6	1667	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25393921	sausage	AlvarezOrdonezA_xxxx__C05-19__bin.5	Aspergillus glaucus	8.0347	99.93	9.73	60	3.7	3296	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25393921	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.5	Penicillium nordicum	3.7721	99.76	3.969	85.2	0.5	3345	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393921	sausage	MASTER_WP4_CSIC_2__P2560__bin.1	Penicillium sp SPG F1	0.5227	99.14	0.462	95.3	0.2	1130	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25393921	sausage	DeFilippisF_xxxx__DS_105__bin.8	unknown spp.	0.1143	99.52	0.139	93.2	0.3	572	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;unknown
SRR25393921	sausage	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.0185	97.95	0.085	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25393921	sausage	AlvarezOrdonezA_xxxx__C08-18__bin.12	Kurtzmaniella spp.	0.0139	98.96	0.065	51.6	0.4	482	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393921	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.0093	98.39	0.035	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25393921	sausage	AlvarezOrdonezA_xxxx__C06-18__bin.23	Helicostylum pulchrum	0.0113	97.34	0.01	89.5	4.2	5208	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Helicostylum
SRR25394006	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	26.9504	99.88	89	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25394006	sausage	MASTER_WP4_CSIC_2__P2638__bin.9	Mucor racemosus	14.8624	96.58	14.952	96.8	0.2	5742	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor
SRR25394006	sausage	MASTER_WP4_UNINA_2__O-30__bin.13	Penicillium camemberti	8.337	99.58	9.843	96	0.1	842	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394006	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.1786	99.73	0.909	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25394006	sausage	MASTER_WP4_CSIC_2__P2560__bin.1	Penicillium sp SPG F1	0.6532	95.84	0.779	95.3	0.2	1130	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394006	sausage	MASTER_WP4_CSIC_2__P2588__bin.22	Scopulariopsis spp.	0.3578	99.18	0.491	91.5	0.3	1292	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scopulariopsis
SRR25394006	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.5	Penicillium nordicum	0.3228	99.99	0.458	85.2	0.5	3345	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394006	sausage	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.0374	98.42	0.233	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25394006	sausage	DeFilippisF_xxxx__DS_105__bin.8	unknown spp.	0.0973	99.5	0.159	93.2	0.3	572	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;unknown
SRR25394006	sausage	MASTER_WP4_CSIC_1__P2233_73323__bin.18	Debaryomyces fabryi	0.0396	98.64	0.136	97.2	0.1	195	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25394006	sausage	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.0412	97	0.076	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25394006	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.3	Aspergillus spp.	0.0407	98.72	0.061	89	0.6	1667	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25394006	sausage	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.0068	95.57	0.037	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
SRR25394008	sausage	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	33.4073	99.92	83	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25394008	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.3	Aspergillus spp.	16.9954	99.98	19	89	0.6	1667	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25394008	sausage	AlvarezOrdonezA_xxxx__F05-18__bin.5	Penicillium nordicum	2.8625	99.64	3.055	85.2	0.5	3345	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394008	sausage	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	0.4821	99.24	1.522	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25394008	sausage	DeFilippisF_xxxx__DS_105__bin.8	unknown spp.	0.5414	99.8	0.667	93.2	0.3	572	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;unknown
SRR25394008	sausage	AlvarezOrdonezA_xxxx__C05-19__bin.5	Aspergillus glaucus	0.2783	98.82	0.342	60	3.7	3296	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
SRR25394008	sausage	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.0862	99.3	0.33	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25394008	sausage	MASTER_WP4_CSIC_2__P2560__bin.1	Penicillium sp SPG F1	0.335	97.79	0.301	95.3	0.2	1130	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394008	sausage	MASTER_WP4_UNINA_1__SF013_71775__bin.21	Penicillium salamii	0.2745	96.98	0.29	90.9	0.2	929	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394008	sausage	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.0243	97.91	0.114	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25394008	sausage	MASTER_WP4_CSIC_2__P2588__bin.22	Scopulariopsis spp.	0.0761	98.19	0.079	91.5	0.3	1292	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scopulariopsis
SRR25394817	whey	MilaniC_2019__SRS3591582__bin.17	Wickerhamiella pararugosa	0.0124	96.86	0.06	83.2	0.5	163	Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella
SRR25394817	whey	MASTER_WP4_UNINA_2__O-30__bin.13	Penicillium camemberti	0.0089	99.57	0.011	96	0.1	842	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394844	whey	EBC_024.4	Kluyveromyces marxianus	0.3302	95.77	0.048	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25394844	whey	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.3905	96.22	0.037	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR25394846	cheese	KastmanEK_2016__CSB720__bin.5	Scopulariopsis brevicaulis	13.1052	99.73	79	93.5	0.6	604	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scopulariopsis
SRR25394846	cheese	MASTER_WP4_UNINA_2__O-30__bin.13	Penicillium camemberti	0.0066	99.42	0.039	96	0.1	842	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25394863	cheese	EBC_024.4	Kluyveromyces marxianus	0.0016	95.35	0.025	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25394929	whey	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.015	95.97	0.044	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR25394929	whey	MASTER_WP4_TEAGASC_1__TGS03-22__bin.2	Candida inconspicua	0.0037	99.34	0.018	72.5	0.3	2223	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR25394931	cheese brine	MASTER_WP4_FFoQSI_2__VB10-22__bin.21	unknown spp.	0.1018	100	0.753	78.5	0.5	56	Ascomycota;Saccharomycetes;Saccharomycetales;unknown;unknown
SRR25394931	cheese brine	EBC_024.4	Kluyveromyces marxianus	0.0057	98.29	0.04	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25394931	cheese brine	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.0052	96.74	0.032	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25395105	whey	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.0262	99.84	0.145	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25395105	whey	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	0.0237	97.81	0.089	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR25395105	whey	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.009	96.7	0.044	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25395105	whey	MASTER_WP4_CSIC_2__P2638__bin.9	Mucor racemosus	0.026	96.44	0.039	96.8	0.2	5742	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor
SRR25395105	whey	EBC_024.4	Kluyveromyces marxianus	0.0063	95.83	0.036	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25395105	whey	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.0051	96.72	0.014	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25395116	cheese	GCA_003243815.1_ASM324381v1_genomic	Candida sake	2.5077	99.9	23	99.79	0	17	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	2.1523	99.95	18	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR25395116	cheese	MortensenS_xxxx__WK065-1-L-08h-05B1_S62__bin.1	Pichia fermentans	0.4296	99.51	5.16	81.3	0.2	2043	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR25395116	cheese	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.2544	99.64	2.785	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR25395116	cheese	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	0.2664	99.98	1.618	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25395116	cheese	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.0986	99.74	1.078	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25395116	cheese	AlvarezOrdonezA_xxxx__C02-19__bin.10	Debaryomyces tyrocola	0.0436	99.42	0.605	63.9	3.3	1188	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25395116	cheese	MASTER_WP4_UNINA_2__V-30__bin.15	unknown spp.	0.0337	99.82	0.461	88	0.1	928	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;unknown
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2561__bin.3	Candida zeylanoides	0.0241	99.78	0.406	60.9	0	1948	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Kurtzmaniella
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2614__bin.19	unknown spp.	0.0185	99.46	0.38	57.7	0	475	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;unknown
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2638__bin.9	Mucor racemosus	0.1139	96.53	0.379	96.8	0.2	5742	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor
SRR25395116	cheese	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.0254	99.93	0.315	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25395116	cheese	MASTER_WP4_TEAGASC_1__TGS06-22__bin.9	Saturnispora mendoncae	0.0192	99.79	0.293	89	0.1	540	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora
SRR25395116	cheese	MASTER_WP4_TEAGASC_1__TGS03-22__bin.2	Candida inconspicua	0.0188	99.46	0.263	72.5	0.3	2223	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR25395116	cheese	C-R03.bin.3	Scheffersomyces stipitis	0.02	98.86	0.196	95.24	0.21	802	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2599__bin.11	Candida cabralensis	0.0082	98.69	0.106	80	0.5	1508	Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia
SRR25395116	cheese	MilaniC_2019__SRS3591582__bin.17	Wickerhamiella pararugosa	0.0063	97.09	0.093	83.2	0.5	163	Ascomycota;Saccharomycetes;Saccharomycetales;Trichomonascaceae;Wickerhamiella
SRR25395116	cheese	EBC_024.4	Kluyveromyces marxianus	0.007	99.58	0.09	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2556__bin.21	Candida intermedia	0.0075	99.11	0.076	99.4	0	149	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR25395116	cheese	MASTER_WP4_CSIC_2__P2574__bin.24	Candida parapsilosis	0.003	98.29	0.032	97.6	0.1	509	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida
SRR25395116	cheese	MASTER_WP4_UNINA_2__O-30__bin.13	Penicillium camemberti	0.0033	96.6	0.013	96	0.1	842	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium
SRR25395139	cheese	MASTER_WP4_CSIC_2__P2545__bin.25	Geotrichum candidum	7.2029	99.77	60	54.7	4.9	4372	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum
SRR25395139	cheese	ODFM-BA-A-0052-001_Yarrowia_lipolytica_CBA6003	Yarrowia lipolytica	1.5784	99.91	9.547	100	0	35	Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia
SRR25395139	cheese	MASTER_WP4_CSIC_1__P2246_73323__bin.19	Kluyveromyces lactis	0.3172	99.87	3.906	99.5	0	41	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25395139	cheese	EBC_024.4	Kluyveromyces marxianus	0.2249	99.63	2.858	93.58	0.21	344	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces
SRR25395139	cheese	MASTER_WP4_UNINA_1__AS006_71775__bin.7	Torulaspora delbrueckii	0.1081	99.91	1.921	62.8	0	1896	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Torulaspora
SRR25395139	cheese	MASTER_WP4_UNINA_1__GO005_71775__bin.6	Debaryomyces hansenii group 1	0.0906	99.41	0.987	99.4	0.1	197	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
SRR25395139	cheese	MASTER_WP4_UNINA_2__F-22__bin.7	Kazachstania unispora	0.0725	99.85	0.791	97.5	1.4	366	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania
SRR25395139	cheese	MASTER_WP4_CSIC_2__P2556__bin.21	Candida intermedia	0.0748	99.97	0.759	99.4	0	149	Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora
SRR25395139	cheese	MASTER_WP4_CSIC_1__P2233_73323__bin.18	Debaryomyces fabryi	0.0611	99.87	0.693	97.2	0.1	195	Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces
